soil_moisture,soil_moisture_error,surface_temperature,latitude,longitude,adjusted_soil_moisture,valid_soil_moisture
,,,76.99911,-179.81328,,0
,,,75.81257,-179.81328,,0
,,,74.71601,-179.81328,,0
,,,73.69126,-179.81328,,0
,,,72.725525,-179.81328,,0
,,274.97818,71.80941,-179.81328,,0
,,274.6746,70.935745,-179.81328,,0
,,275.07208,70.09893,-179.81328,,0
,,275.0679,69.294495,-179.81328,,0
0.14026383,,274.83463,68.51881,-179.81328,0.0028052765,1
0.11512449,,274.81155,67.76884,-179.81328,0.0023024897,1
0.1115814,,275.01498,67.04206,-179.81328,0.002231628,1
0.113877654,,275.2165,66.33635,-179.81328,0.002277553,1
0.23094112,,277.1852,65.64985,-179.81328,0.004618822,1
,,278.25998,64.98099,-179.81328,,0
,,279.16263,64.32838,-179.81328,,0
,,,63.690807,-179.81328,,0
,,,63.0672,-179.81328,,0
,,,62.456604,-179.81328,,0
,,,61.858166,-179.81328,,0
,,,61.27113,-179.81328,,0
,,,60.6948,-179.81328,,0
,,,60.128555,-179.81328,,0
,,,59.571827,-179.81328,,0
,,,59.024097,-179.81328,,0
,,,58.484894,-179.81328,,0
,,,57.95379,-179.81328,,0
,,,57.43037,-179.81328,,0
,,,56.91428,-179.81328,,0
,,,56.40517,-179.81328,,0
,,,55.90273,-179.81328,,0
,,,55.40666,-179.81328,,0
,,,54.916687,-179.81328,,0
,,,54.43256,-179.81328,,0
,,,53.954033,-179.81328,,0
,,,53.48089,-179.81328,,0
,,,53.012913,-179.81328,,0
,,,52.549908,-179.81328,,0
,,,52.091694,-179.81328,,0
,,,51.63809,-179.81328,,0
,,,51.18893,-179.81328,,0
,,,50.74406,-179.81328,,0
,,,50.303333,-179.81328,,0
,,,49.86661,-179.81328,,0
,,,76.99911,-179.43983,,0
,,,75.81257,-179.43983,,0
,,,74.71601,-179.43983,,0
,,,73.69126,-179.43983,,0
,,,72.725525,-179.43983,,0
,,274.98022,71.80941,-179.43983,,0
0.24778092,,274.60052,70.935745,-179.43983,0.004955618,1
,,275.07208,70.09893,-179.43983,,0
,,275.0719,69.294495,-179.43983,,0
0.15596938,,274.925,68.51881,-179.43983,0.0031193877,1
0.10743529,,274.88278,67.76884,-179.43983,0.0021487058,1
0.110502675,,275.05304,67.04206,-179.43983,0.0022100534,1
0.19138473,,275.27573,66.33635,-179.43983,0.0038276946,1
,,277.4714,65.64985,-179.43983,,0
,,278.17725,64.98099,-179.43983,,0
,,,64.32838,-179.43983,,0
,,,63.690807,-179.43983,,0
,,,63.0672,-179.43983,,0
,,,62.456604,-179.43983,,0
,,,61.858166,-179.43983,,0
,,,61.27113,-179.43983,,0
,,,60.6948,-179.43983,,0
,,,60.128555,-179.43983,,0
,,,59.571827,-179.43983,,0
,,,59.024097,-179.43983,,0
,,,58.484894,-179.43983,,0
,,,57.95379,-179.43983,,0
,,,57.43037,-179.43983,,0
,,,56.91428,-179.43983,,0
,,,56.40517,-179.43983,,0
,,,55.90273,-179.43983,,0
,,,55.40666,-179.43983,,0
,,,54.916687,-179.43983,,0
,,,54.43256,-179.43983,,0
,,,53.954033,-179.43983,,0
,,,53.48089,-179.43983,,0
,,,53.012913,-179.43983,,0
,,,52.549908,-179.43983,,0
,,283.61295,52.091694,-179.43983,,0
,,283.8706,51.63809,-179.43983,,0
,,284.1792,51.18893,-179.43983,,0
,,,50.74406,-179.43983,,0
,,,50.303333,-179.43983,,0
,,,78.30298,-179.06639,,0
,,,76.99911,-179.06639,,0
,,,75.81257,-179.06639,,0
,,,74.71601,-179.06639,,0
,,,73.69126,-179.06639,,0
,,,72.725525,-179.06639,,0
,,274.99857,71.80941,-179.06639,,0
0.20048495,,274.64697,70.935745,-179.06639,0.004009699,1
,,,70.09893,-179.06639,,0
,,275.0721,69.294495,-179.06639,,0
0.18281245,,275.00034,68.51881,-179.06639,0.003656249,1
0.121181116,,274.95685,67.76884,-179.06639,0.0024236222,1
0.12162143,,275.0619,67.04206,-179.06639,0.0024324285,1
0.13940991,,275.3788,66.33635,-179.06639,0.0027881982,1
,,277.3885,65.64985,-179.06639,,0
,,277.8426,64.98099,-179.06639,,0
,,,64.32838,-179.06639,,0
,,,63.690807,-179.06639,,0
,,,63.0672,-179.06639,,0
,,,62.456604,-179.06639,,0
,,,61.858166,-179.06639,,0
